empty,CITY,STATE,PHYSICAL ZIP,POP,age0s,age10s,age20s,age30s,age40s,age50s,age60s,age70s,age80plus,type
101,ATLANTA,GA,30304,498715,9.8,10.6,22.6,18.7,12.1,10.5,8.2,5,2.6,Urban
113,ATLANTA,GA,30332,498715,9.8,10.6,22.6,18.7,12.1,10.5,8.2,5,2.6,Urban
114,ATLANTA,GA,30336,498715,9.8,10.6,22.6,18.7,12.1,10.5,8.2,5,2.6,Urban
115,ATLANTA,GA,30340,498715,9.8,10.6,22.6,18.7,12.1,10.5,8.2,5,2.6,Urban
116,COLUMBUS,GA,31907,206922,13.2,13.6,14.9,14,11.5,11.9,11.3,6.4,3.3,Urban
120,URBAN HONOLULU,HI,96801,350964,9.2,9.6,13.3,14,12.4,13.3,13.1,8.9,6,Urban
121,EAST HONOLULU,HI,96825,50922,8.5,11.7,7.8,9.2,12.3,15.1,15.1,12.6,7.7,Urban
122,BOISE,ID,83702,235684,10.7,12.8,16,14.6,12.3,11.8,11.3,7,3.5,Urban
123,MERIDIAN,ID,83642,117635,14.4,16.7,11.4,14.1,13.9,11,9.1,6.5,3.1,Urban
124,CHICAGO,IL,60604,2746388,10.9,11.5,17.9,17.4,12.7,11.5,9.8,5.5,2.9,Urban
125,CHICAGO,IL,60699,2746388,10.9,11.5,17.9,17.4,12.7,11.5,9.8,5.5,2.9,Urban
144,AURORA,IL,60505,180542,13.5,16.5,13.6,14.2,14.9,12.4,8.4,4.4,2,Urban
145,AURORA,IL,60598,180542,13.5,16.5,13.6,14.2,14.9,12.4,8.4,4.4,2,Urban
147,INDIANAPOLIS CITY (BALANCE),IN,46201,887642,13.4,13.4,16,15.2,11.9,11.6,10.4,5.4,2.7,Urban
148,FORT WAYNE,IN,46802,263886,13.9,13.8,15,13.4,11.6,11.4,11.2,6.4,3.5,Urban
149,DES MOINES,IA,50318,214133,13.1,13.2,16.1,14.9,11.7,11.8,10.4,5.7,3.1,Urban
176,CEDAR RAPIDS,IA,52401,137710,12.5,12.9,15.2,14.2,11.6,11.8,10.8,6.6,4.4,Urban
179,WICHITA,KS,67208,397532,13.2,14.1,14.8,13.5,11.3,11.8,11.4,6.4,3.4,Urban
180,OVERLAND PARK,KS,66202,197238,12,12.8,13.1,14,12.6,12.7,11.3,7.2,4.1,Urban
181,LOUISVILLE/JEFFERSON COUNTY METRO GOVERNMENT (BALANCE),KY,66547,386884,12.2,12.9,12.3,13.1,12.8,13.2,12.1,7.3,3.8,Urban
182,LEXINGTON-FAYETTE URBAN,KY,40502,322570,11.6,13.3,17.2,14.5,12.2,11.2,10.3,6.2,3.2,Urban
183,NEW ORLEANS,LA,70113,383997,11.1,11.9,16.1,16.6,11.7,11.7,11.6,6.4,3,Urban
193,NEW ORLEANS,LA,70114,383997,11.1,11.9,16.1,16.6,11.7,11.7,11.6,6.4,3,Urban
194,BATON ROUGE,LA,70801,227470,11.6,15,19.6,13.2,10.1,10.5,10.5,6.1,3.3,Urban
198,BATON ROUGE,LA,70810,227470,11.6,15,19.6,13.2,10.1,10.5,10.5,6.1,3.3,Urban
199,BATON ROUGE,LA,70817,227470,11.6,15,19.6,13.2,10.1,10.5,10.5,6.1,3.3,Urban
200,PORTLAND,ME,04101,68408,8.7,8.4,18,18.4,11.9,12.1,11.7,6.9,4,Urban
203,LEWISTON,ME,04240,37121,11.9,14.2,13.5,13,11.4,12.7,11,7.7,4.7,Urban
204,BALTIMORE,MD,21233,585708,10.9,11.2,17.7,16.7,10.7,12.1,11.3,6.2,3.2,Urban
215,BALTIMORE,MD,21239,585708,10.9,11.2,17.7,16.7,10.7,12.1,11.3,6.2,3.2,Urban
216,COLUMBIA,MD,21044,104681,11.8,12.6,13.1,14.6,13,13.1,11,7.5,3.3,Urban
217,BOSTON,MA,02114,675647,8.4,10.2,27.1,17.4,9.8,10,8.7,5.4,3,Urban
218,BOSTON,MA,02116,675647,8.4,10.2,27.1,17.4,9.8,10,8.7,5.4,3,Urban
219,BOSTON,MA,02205,675647,8.4,10.2,27.1,17.4,9.8,10,8.7,5.4,3,Urban
225,WORCESTER,MA,01613,206518,10.8,13.5,19,14.2,11.3,12,10.3,5.6,3.4,Urban
226,DETROIT,MI,48233,639111,13.9,13.9,15.1,13.2,11.8,12.2,11.2,6,2.9,Urban
241,GRAND RAPIDS,MI,49501,198917,12.3,12.2,22,15.9,10,9.8,9.3,5,3.5,Urban
245,MINNEAPOLIS,MN,55401,429954,10.8,10.9,22.6,18.6,11.5,10.1,8.8,4.7,1.9,Urban
254,ST. PAUL,MN,55101,311527,13.4,13.7,17.8,16,11.1,10.9,9.6,5,2.5,Urban
255,JACKSON,MS,39201,153701,12.1,13.9,15.5,13,11.4,12.2,12.3,6.4,3.1,Urban
256,JACKSON,MS,39209,153701,12.1,13.9,15.5,13,11.4,12.2,12.3,6.4,3.1,Urban
257,GULFPORT,MS,39501,72926,12.9,13.2,13.8,13.7,11.6,12.2,12,7.1,3.5,Urban
258,KANSAS CITY,MO,64108,508090,12.5,12.2,16.6,15.8,11.9,11.8,10.5,5.8,2.9,Urban
262,KANSAS CITY,MO,64116,508090,12.5,12.2,16.6,15.8,11.9,11.8,10.5,5.8,2.9,Urban
264,KANSAS CITY,MO,64121,508090,12.5,12.2,16.6,15.8,11.9,11.8,10.5,5.8,2.9,Urban
269,ST. LOUIS,MO,63101,301578,10.2,10.2,19.1,17.3,11.4,11.8,11.7,5.6,2.7,Urban
270,BILLINGS,MT,59101,117116,12.3,12.5,13.7,14.5,11.2,11.4,12.1,7.8,4.7,Urban
276,MISSOULA,MT,59801,73489,10.1,11.1,20.2,16.6,11.7,9.8,10.5,6.7,3.5,Urban
277,OMAHA,NE,68106,486051,13.4,13.9,15.6,14.6,11.4,11.5,10.5,5.9,3.1,Urban
278,OMAHA,NE,68108,486051,13.4,13.9,15.6,14.6,11.4,11.5,10.5,5.9,3.1,Urban
287,LINCOLN,NE,68501,291082,12.3,14.2,17.7,14.2,11.3,10.4,10.3,6.3,3.2,Urban
288,LAS VEGAS,NV,89106,641903,12.2,13.5,13,13.9,13.2,12.8,10.9,7.2,3.3,Urban
289,LAS VEGAS,NV,89199,641903,12.2,13.5,13,13.9,13.2,12.8,10.9,7.2,3.3,Urban
296,HENDERSON,NV,89002,317610,10.5,12.3,11,12.9,13.4,13.6,12.7,9.9,3.9,Urban
297,MANCHESTER,NH,03103,115644,10.4,10.6,17.2,15.7,11.4,13.3,11.5,6.3,3.6,Urban
298,NASHUA,NH,03060,91322,10.1,11.3,13.6,14.3,12.2,14.6,12.5,7.2,4,Urban
299,NEWARK,NJ,07102,311549,13.5,14.6,15.2,15.9,13.6,12.2,8.5,4.4,2,Urban
309,JERSEY CITY,NJ,07302,292449,12,9.2,19.1,22.6,12.5,10.3,8,4.4,2,Urban
312,ALBUQUERQUE,NM,87101,564559,10.8,12.9,14.4,14.4,12,12.3,11.9,7.6,3.8,Urban
315,ALBUQUERQUE,NM,87116,564559,10.8,12.9,14.4,14.4,12,12.3,11.9,7.6,3.8,Urban
316,LAS CRUCES,NM,88001,111385,12.2,13.7,16.4,13.6,10.5,10.4,11.1,7.8,4.3,Urban
317,NEW YORK,NY,10001,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
319,NEW YORK,NY,10003,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
320,NEW YORK,NY,10007,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
335,NEW YORK,NY,10010,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
336,NEW YORK,NY,10011,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
337,NEW YORK,NY,10013,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
338,NEW YORK,NY,10016,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
340,NEW YORK,NY,10017,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
342,NEW YORK,NY,10018,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
343,NEW YORK,NY,10019,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
344,NEW YORK,NY,10020,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
345,NEW YORK,NY,10021,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
346,NEW YORK,NY,10022,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
349,NEW YORK,NY,10023,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
350,NEW YORK,NY,10024,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
351,NEW YORK,NY,10025,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
352,NEW YORK,NY,10028,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
353,NEW YORK,NY,10036,8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,Urban
354,BUFFALO,NY,14225,278349,12.9,13.6,17.8,14.8,10.5,11.6,10.9,5.2,2.7,Urban
355,BUFFALO,NY,14240,278349,12.9,13.6,17.8,14.8,10.5,11.6,10.9,5.2,2.7,Urban
368,CHARLOTTE,NC,28204,874579,12.3,13.1,16.9,16.6,13.4,11.7,8.8,4.9,2.2,Urban
370,CHARLOTTE,NC,28213,874579,12.3,13.1,16.9,16.6,13.4,11.7,8.8,4.9,2.2,Urban
371,CHARLOTTE,NC,28228,874579,12.3,13.1,16.9,16.6,13.4,11.7,8.8,4.9,2.2,Urban
381,RALEIGH,NC,27601,467665,11.2,12.8,19.3,16.1,12.9,11.2,8.6,5.1,2.7,Urban
384,RALEIGH,NC,27613,467665,11.2,12.8,19.3,16.1,12.9,11.2,8.6,5.1,2.7,Urban
385,RALEIGH,NC,27676,467665,11.2,12.8,19.3,16.1,12.9,11.2,8.6,5.1,2.7,Urban
391,FARGO,ND,58102,125990,12,12,21.8,15.6,10.6,9.9,9.7,5.2,3.3,Urban
396,BISMARCK,ND,58501,73622,12.5,11.8,14,14.5,11.2,11,12.1,7.5,5.4,Urban
397,COLUMBUS,OH,43216,905748,12.8,11.9,20.7,16.7,11.5,10.5,9,4.7,2.3,Urban
398,COLUMBUS,OH,43218,905748,12.8,11.9,20.7,16.7,11.5,10.5,9,4.7,2.3,Urban
409,CLEVELAND,OH,44101,372624,12.2,12,16.3,14.3,10.8,13.1,12.3,5.9,3.3,Urban
418,OKLAHOMA CITY,OK,73125,681054,13.7,13.7,14.8,15.4,12.2,11.2,10.3,5.9,3,Urban
422,TULSA,OK,74103,413066,13,13.3,15.1,14.2,11.7,11.4,11,6.5,3.7,Urban
428,TULSA,OK,74136,413066,13,13.3,15.1,14.2,11.7,11.4,11,6.5,3.7,Urban
429,PORTLAND,OR,97208,652503,9.3,9.8,15.7,19.4,14.9,11.6,10.3,6.2,2.8,Urban
430,PORTLAND,OR,97213,652503,9.3,9.8,15.7,19.4,14.9,11.6,10.3,6.2,2.8,Urban
431,PORTLAND,OR,97230,652503,9.3,9.8,15.7,19.4,14.9,11.6,10.3,6.2,2.8,Urban
434,EUGENE,OR,97401,176654,8.8,11.9,20,13.8,11.5,10.3,11.4,8.2,4,Urban
435,PHILADELPHIA,PA,19104,1603797,11.2,11.9,18,16.3,11.1,11.4,10.6,6.1,3.3,Urban
461,PHILADELPHIA,PA,19105,1603797,11.2,11.9,18,16.3,11.1,11.4,10.6,6.1,3.3,Urban
462,PHILADELPHIA,PA,19176,1603797,11.2,11.9,18,16.3,11.1,11.4,10.6,6.1,3.3,Urban
464,PITTSBURGH,PA,15205,302971,8.4,10.5,24.8,16.1,9.1,9.9,11,6.4,3.7,Urban
465,PITTSBURGH,PA,15212,302971,8.4,10.5,24.8,16.1,9.1,9.9,11,6.4,3.7,Urban
468,PITTSBURGH,PA,15213,302971,8.4,10.5,24.8,16.1,9.1,9.9,11,6.4,3.7,Urban
470,PITTSBURGH,PA,15290,302971,8.4,10.5,24.8,16.1,9.1,9.9,11,6.4,3.7,Urban
486,PROVIDENCE,RI,02904,190934,11.3,15.6,21.1,15.1,10.7,10.3,8.6,4.6,2.6,Urban
489,CRANSTON,RI,02905,82934,9.8,11.9,12.7,14.1,12.3,14,13.2,7.7,4.6,Urban
490,CHARLESTON,SC,29401,150227,10.8,9.4,19.2,17.2,11.3,10.6,10.8,7.3,3.4,Urban
491,COLUMBIA,SC,29201,136632,9,17.7,23.4,13.3,9.8,9.8,9.1,5.4,2.5,Urban
502,SIOUX FALLS,SD,57104,192517,14.1,12.7,14.8,15.4,11.7,11.2,10.4,6.2,3.4,Urban
505,SIOUX FALLS,SD,57106,192517,14.1,12.7,14.8,15.4,11.7,11.2,10.4,6.2,3.4,Urban
506,RAPID CITY,SD,57701,74703,11.9,12.6,14.9,14,10.8,10.9,12.1,7.6,5.2,Urban
507,NASHVILLE,TN,37201,689447,11.6,11.1,19.4,18,11.7,10.8,9.5,5.2,2.6,Urban
508,MEMPHIS,TN,38101,633104,13.3,13.3,15.8,14.3,11.7,11.7,11.3,5.9,2.9,Urban
518,MEMPHIS,TN,38103,633104,13.3,13.3,15.8,14.3,11.7,11.7,11.3,5.9,2.9,Urban
519,MEMPHIS,TN,38114,633104,13.3,13.3,15.8,14.3,11.7,11.7,11.3,5.9,2.9,Urban
520,MEMPHIS,TN,38115,633104,13.3,13.3,15.8,14.3,11.7,11.7,11.3,5.9,2.9,Urban
521,MEMPHIS,TN,38119,633104,13.3,13.3,15.8,14.3,11.7,11.7,11.3,5.9,2.9,Urban
524,HOUSTON,TX,77002,2304580,13.2,13.1,16.3,16.5,12.6,11.1,9.4,5.2,2.6,Urban
529,SAN ANTONIO,TX,78205,1434625,12.6,14.1,15.9,14.4,12.1,11.8,10,6,3.1,Urban
530,SAN ANTONIO,TX,78284,1434625,12.6,14.1,15.9,14.4,12.1,11.8,10,6,3.1,Urban
531,SALT LAKE CITY,UT,84101,199723,10.1,11.7,23.7,17.3,11.8,9.6,8.5,4.8,2.4,Urban
532,SALT LAKE CITY,UT,84108,199723,10.1,11.7,23.7,17.3,11.8,9.6,8.5,4.8,2.4,Urban
534,SALT LAKE CITY,UT,84199,199723,10.1,11.7,23.7,17.3,11.8,9.6,8.5,4.8,2.4,Urban
539,WEST VALLEY CITY,UT,84081,140230,15.6,17,15.1,14.8,13.1,10.4,8,4.3,1.7,Urban
540,BURLINGTON,VT,05401,44743,7,15.8,31.4,12.9,8.2,8.6,8.4,5.1,2.6,Urban
,BENNINGTON,VT,05201,8795,10.7,11.2,10.5,12.7,10.7,14.2,14.2,9.8,6.2,Urban
541,SOUTH BURLINGTON,VT,05401,20292,9.8,9.8,14.3,15.2,12.4,12.8,12.1,8.1,5.5,Urban
542,VIRGINIA BEACH,VA,23452,459470,11.9,12.5,14.6,15,11.9,12.7,11.3,6.7,3.4,Urban
543,VIRGINIA BEACH,VA,23464,459470,11.9,12.5,14.6,15,11.9,12.7,11.3,6.7,3.4,Urban
545,CHESAPEAKE,VA,23320,249422,12.6,13.9,12.1,14.4,12.6,13.3,11.7,6.4,3,Urban
546,SEATTLE,WA,98101,737015,8.4,8.6,21.1,21.2,12.9,10.7,9,5.5,2.7,Urban
548,SEATTLE,WA,98105,737015,8.4,8.6,21.1,21.2,12.9,10.7,9,5.5,2.7,Urban
549,SEATTLE,WA,98107,737015,8.4,8.6,21.1,21.2,12.9,10.7,9,5.5,2.7,Urban
550,SEATTLE,WA,98134,737015,8.4,8.6,21.1,21.2,12.9,10.7,9,5.5,2.7,Urban
551,SEATTLE,WA,98168,737015,8.4,8.6,21.1,21.2,12.9,10.7,9,5.5,2.7,Urban
553,SPOKANE,WA,99201,228989,11.8,11.8,15.8,15.1,11.4,11.6,11.7,7,3.7,Urban
555,SPOKANE,WA,99202,228989,11.8,11.8,15.8,15.1,11.4,11.6,11.7,7,3.7,Urban
557,SPOKANE,WA,99218,228989,11.8,11.8,15.8,15.1,11.4,11.6,11.7,7,3.7,Urban
558,CHARLESTON,WV,25301,48864,10.1,11.3,11.9,13,12.4,13,14.7,8.6,4.8,Urban
561,HUNTINGTON,WV,25704,46842,9.6,12.7,18.4,12.9,11.2,11,11.8,8,4.4,Urban
562,MILWAUKEE,WI,53203,577222,13.7,15,17.7,14.7,11.2,10.9,9.6,4.7,2.5,Urban
570,MADISON,WI,53714,269840,9.6,11.8,24.7,16.1,10.2,9.5,9.3,5.7,3,Urban
584,CHEYENNE,WY,82009,65132,12.3,12.4,13.5,15.1,11.2,11.8,11.8,7.6,4.3,Urban
587,CASPER,WY,82601,59038,13.2,14,12.8,14.5,11.7,11.2,11.9,6.6,3.8,Urban
110,LAZY MOUNTAIN,AK,99645,1506,11,15.6,10.1,12.4,11.6,13,15.6,7.5,3.1,Rural
210,HOUSTON,AK,99623,1975,12.7,14.2,8.3,14.5,12.1,15.9,14.7,6.5,1,Rural
310,STEVENSON,AL,35772,1955,13.3,13.8,10.7,10.5,12.6,13.4,13,9,3.5,Rural
410,WARRIOR,AL,35180,3224,11.4,12.8,11.4,13.5,11.7,13.5,13.2,8.2,4.2,Rural
510,POTTSVILLE,AR,72858,3140,15.6,15.9,12.8,13.6,12.9,11.1,9.5,6.2,2.4,Rural
6,BALD KNOB,AR,72010,2522,11.4,14.7,11.6,11.1,12,13,12.6,9.6,3.8,Rural
7,HEBER-OVERGAARD,AZ,85928,2898,8.7,8.9,4.9,5.9,7,13,25.3,20.7,5.6,Rural
810,GILA BEND,AZ,85326,1892,17.7,17.7,11.8,10.5,11,12.3,11,5.5,2.7,Rural
9,PARKSDALE,CA,93638,3234,18.4,20.5,14.1,12.5,11.7,9.6,7.4,4.1,1.7,Rural
103,WILLOW CREEK,CA,95573,1720,10,11.6,8.2,13.3,9.6,12.9,19.5,11.3,3.8,Rural
11,ORCHARD CITY,CO,81410,3142,8.5,12.1,6.3,8.9,10.4,12.5,17.6,15.4,8.2,Rural
12,PLATTEVILLE,CO,80651 ,2955,13.2,17.4,12.4,14.9,13,12,9.5,5.3,2.2,Rural
13,GEORGETOWN,CT,06829,1832,12.4,16.2,9.7,9.7,15.4,17.1,11,5.8,2.9,Rural
14,BALL POND,CT,06812,2189,9.2,13.3,11.1,9.6,13.7,19.6,12.3,7.8,3.5,Rural
15,TOWNSEND,DE,19734,2717,15.9,19.1,9.9,16.2,16.9,11.9,5.4,3.2,1.4,Rural
16,WYOMING,DE,19934,1680,14,15.6,14.2,16.3,11.9,11.2,9.6,5.1,2,Rural
17,WAHNETA,FL,33880,4409,17.2,16.9,14.2,12.8,12.1,11.8,8.2,4.4,2.3,Rural
18,HARBOUR HEIGHTS,FL,33983,3428,7.3,9.5,7,9.2,9.3,12.4,21.3,16.8,7.3,Rural
19,GUMLOG,GA,30553,2358,8.5,11.6,7.8,11,10.8,16.4,17.1,11.7,4.8,Rural
20,HEPHZIBAH,GA,30815,3830,11,13.3,10.5,12.3,10.9,15.5,14.5,8.7,3.2,Rural
21,HANA,HI,96713,1526,13.5,15.3,12.5,9.3,12.5,9.4,11.6,10.3,5.4,Rural
22,MAUNAWILI,HI,96734,2026,7.4,12,6.8,8.3,11.8,16.3,16.1,13.4,8.1,Rural
23,ALBIA,IA,52531,3721,13.1,14.3,12.5,11.8,11.1,11.7,11.2,8.7,5.6,Rural
24,REMSEN,IA,51050,1678,11.8,14.4,9.6,11.8,9.8,11.2,12.8,10,8.8,Rural
25,ST. MARIES,ID,83861,2357,14.2,11.3,12.2,11.9,9.2,11.7,13.6,10.5,5.4,Rural
26,OSBURN,ID,83849,1567,11.7,11.6,8.1,9.7,10.5,15,16.3,12.1,5.1,Rural
27,ATHENS,IL,62613,1977,13.4,17.3,10.1,13.8,13.7,12,9.3,7.9,2.8,Rural
281,FORSYTH,IL,62535,3734,13,13.9,6.9,11.2,12.9,13.2,11.5,10.4,6.9,Rural
291,OAKLAND CITY,IN,47660,2279,12,16.4,15.6,11.9,10.6,10.3,10.8,7.5,5.2,Rural
301,DELPHI,IN,46923,2961,12.8,13.8,12.1,13.1,11.3,12.6,12.4,7.7,4.2,Rural
311,LAKIN,KS,67860,2205,15,15.8,12.4,13.8,10.9,10.8,11,5.3,5.1,Rural
321,WELLSVILLE,KS,66092,1953,14.4,14.6,10.9,14.4,10.4,12.4,9.8,6.3,6.7,Rural
33,PEWEE VALLEY,KY,40056,1588,10.4,13.8,7.6,7.6,10.5,15.5,14.5,10.9,9.1,Rural
34,OLIVE HILL,KY,41164,1580,11.9,10.5,10.6,12.5,10.3,14.5,11.8,12.3,5.6,Rural
35,GREENWOOD,LA,71033,3166,10.4,10.6,9.4,12.4,11.6,14.6,17.3,10.4,3.2,Rural
36,LAKE PROVIDENCE,LA,71254,3587,16.3,15.9,11.4,10.3,10.2,12.6,12.4,7.2,3.7,Rural
37,SHELBURNE FALLS,MA,01370,1719,6.4,8.9,6.7,11.5,11.8,15.2,20.4,13.9,5.3,Rural
382,NORTH PLYMOUTH,MA,02360,3983,10.1,10.8,12.5,15.4,13.4,13.9,13.1,6.8,4,Rural
392,MOUNTAIN LAKE PARK,MD,21550,2147,10.5,11.9,10.9,10.7,10.1,12.4,16.5,8.2,9,Rural
401,PERRYVILLE,MD,21902,4391,10.9,13,10.6,12.8,12.3,15.5,13.9,7.5,3.3,Rural
41,DUNSTAN,ME,04074,2083,10.1,12,10.3,11,10.6,18.7,13.6,9.5,4.1,Rural
42,MILO,ME,04463,1751,11.1,11.3,10.3,12.2,11.9,14.8,14.6,8.6,5.3,Rural
43,IRON RIVER,MI,49935,3007,11.8,12.3,10.4,11.4,10.5,11.7,15.2,10.5,6.4,Rural
44,CAPAC,MI,48014,1983,13.3,15.1,12.7,13.1,11.5,14,12,5.8,2.7,Rural
45,MAPLE LAKE,MN,55358,2159,13.4,14.9,13.2,14.1,11.8,14.1,9.8,4.6,4,Rural
46,PAYNESVILLE,MN,56362,2388,12.4,12.2,12.5,12.5,9.5,11.1,10.9,10.6,8.4,Rural
47,TIPTON,MO,65081,2920,9.5,11.2,13.1,18.1,13.8,12.3,11.6,5.5,4.9,Rural
481,LAWSON,MO,64062,2541,14.2,17.2,11.4,13.3,11.8,10.8,10,6.9,4.6,Rural
492,MOUND BAYOU,MS,38762,1534,14.1,15.7,12.4,13.3,9.9,11.7,12.5,7.7,2.6,Rural
50,SARDIS,MS,38666,1748,13.5,12.2,11,10.4,11.2,12.2,15.3,8.6,5.6,Rural
511,FORT BELKNAP AGENCY,MT,59526,1567,19.5,20.1,13.8,12.7,10,9.7,9.2,4.2,0.9,Rural
522,CHOTEAU,MT,59422,1721,12.7,10.3,8.6,10,10.4,12,16.2,12.6,7,Rural
533,CHADBOURN,NC,28431,1574,12,14.3,12.2,9.5,11,12.8,15.4,8.6,4.3,Rural
544,FRUITLAND,NC,28792,2257,9.4,10.3,10,10.5,12.1,16.1,15.2,11.6,4.8,Rural
